sales_id,oderdetail_id,Order ID, Cost,Sales
696,696,03-555-7951,125,187.5
697,697,03-555-7951,168.27,252.405
698,698,03-555-7951,69.38,104.07
699,699,03-555-7951,190,285
700,700,03-555-7951,52.08,78.12
701,701,03-555-7951,310,465
702,702,03-555-7951,91.84,137.76
703,703,03-555-7951,320,480
704,704,03-555-7951,93.13,139.695
705,705,03-555-7951,75,112.5
706,706,03-555-7951,144.09,216.135
707,707,03-555-7951,125,187.5
708,708,03-555-7951,168.27,252.405
709,709,03-555-7951,69.38,104.07
710,710,03-555-7951,190,285
711,711,03-555-7951,52.08,78.12
712,712,03-555-7951,310,465
713,713,03-555-7951,91.84,137.76
714,714,03-555-7951,320,480
715,715,03-568-8174,125,187.5
716,716,03-568-8174,168.27,252.405
717,717,03-568-8174,69.38,104.07
718,718,03-568-8174,190,285
719,719,03-568-8174,52.08,78.12
720,720,03-568-8174,310,465
721,721,03-568-8174,91.84,137.76
722,722,03-568-8174,320,480
723,723,03-568-8174,93.13,139.695
724,724,03-568-8174,75,112.5
725,725,03-568-8174,144.09,216.135
726,726,03-568-8174,125,187.5
727,727,03-568-8174,168.27,252.405
728,728,03-568-8174,69.38,104.07
729,729,03-568-8174,190,285
730,730,03-568-8174,52.08,78.12
731,731,03-568-8174,310,465
732,732,03-568-8174,91.84,137.76
733,733,03-568-8174,320,480
734,734,03-568-8174,93.13,139.695
735,735,03-568-8174,75,112.5
736,736,03-825-5219,52.08,78.12
737,737,03-825-5219,310,465
738,738,03-825-5219,91.84,137.76
739,739,03-825-5219,320,480
740,740,03-825-5219,93.13,139.695
741,741,03-825-5219,75,112.5
742,742,03-825-5219,144.09,216.135
743,743,03-825-5219,125,187.5
744,744,03-825-5219,168.27,252.405
745,745,03-825-5219,69.38,104.07
746,746,03-825-5219,190,285
747,747,03-825-5219,52.08,78.12
748,748,03-825-5219,310,465
749,749,03-825-5219,91.84,137.76
750,750,03-825-5219,320,480
751,751,03-825-5219,93.13,139.695
752,752,03-825-5219,75,112.5
753,753,03-825-5219,144.09,216.135
754,754,03-825-5219,125,187.5
755,755,03-825-5219,168.27,252.405
756,756,03-825-5219,69.38,104.07
757,757,03-893-8767,220,330
758,758,03-893-8767,101.6,152.4
759,759,03-893-8767,235,352.5
760,760,03-893-8767,124.62,186.93
761,761,03-893-8767,119.8,179.7
762,762,03-893-8767,98,147
763,763,03-893-8767,83.99,125.985
764,764,03-893-8767,225,337.5
765,765,03-893-8767,133.17,199.755
766,766,03-893-8767,210,315
767,767,03-893-8767,44.57,66.855
768,768,03-893-8767,220,330
769,769,03-893-8767,101.6,152.4
770,770,03-893-8767,235,352.5
771,771,03-893-8767,124.62,186.93
772,772,03-893-8767,119.8,179.7
773,773,03-893-8767,98,147
774,774,03-893-8767,83.99,125.985
775,775,03-893-8767,225,337.5
776,776,03-893-8767,133.17,199.755
777,777,03-893-8767,210,315
778,778,03-955-4532,44.57,66.855
779,779,03-955-4532,220,330
780,780,03-955-4532,101.6,152.4
781,781,03-955-4532,235,352.5
782,782,03-955-4532,124.62,186.93
783,783,03-955-4532,119.8,179.7
784,784,03-955-4532,98,147
785,785,03-955-4532,83.99,125.985
786,786,03-955-4532,225,337.5
787,787,03-955-4532,133.17,199.755
788,788,03-955-4532,210,315
789,789,03-955-4532,44.57,66.855
790,790,03-955-4532,220,330
791,791,03-955-4532,101.6,152.4
792,792,03-955-4532,235,352.5
793,793,03-955-4532,124.62,186.93
794,794,03-955-4532,119.8,179.7
795,795,03-955-4532,98,147
